iter	Passed	Remaining
0	0	490
1	1	304
2	1	241
3	1	207
4	1	187
5	1	174
6	1	165
7	2	158
8	2	152
9	2	148
10	2	148
11	2	145
12	3	143
13	3	141
14	3	139
15	3	138
16	3	135
17	4	133
18	4	132
19	4	132
20	4	131
21	5	133
22	5	132
23	5	131
24	5	131
25	5	130
26	6	129
27	6	128
28	6	127
29	6	126
30	6	125
31	7	125
32	7	124
33	7	123
34	7	123
35	7	122
36	8	121
37	8	120
38	8	120
39	8	119
40	8	118
41	8	118
42	9	117
43	9	117
44	9	116
45	9	116
46	9	115
47	10	115
48	10	114
49	10	114
50	10	114
51	10	115
52	11	115
53	11	115
54	11	115
55	11	114
56	11	114
57	12	113
58	12	114
59	12	114
60	13	115
61	14	122
62	14	122
63	14	121
64	14	121
65	15	121
66	15	121
67	15	120
68	15	120
69	15	119
70	15	119
71	16	118
72	16	118
73	16	117
74	16	117
75	16	117
76	17	116
77	17	116
78	17	115
79	17	115
80	17	114
81	18	115
82	19	119
83	19	119
84	19	120
85	20	120
86	20	119
87	20	119
88	21	123
89	22	127
90	22	126
91	22	126
92	23	126
93	23	125
94	23	125
95	23	124
96	23	123
97	24	123
98	24	122
99	24	122
100	24	121
101	24	121
102	25	120
103	25	120
104	25	119
105	25	119
106	25	118
107	25	118
108	26	117
109	26	117
110	26	117
111	26	117
112	27	117
113	27	116
114	27	116
115	27	116
116	27	115
117	28	115
118	28	114
119	28	114
120	28	113
121	28	113
122	29	113
123	29	112
124	29	112
125	29	112
126	30	112
127	30	111
128	30	111
129	30	111
130	30	110
131	31	110
132	31	109
133	31	109
134	31	109
135	31	108
136	32	108
137	32	108
138	32	108
139	32	107
140	32	107
141	33	106
142	33	106
143	33	106
144	33	105
145	33	105
146	34	105
147	34	104
148	34	104
149	34	104
150	34	103
151	35	103
152	35	102
153	35	102
154	35	102
155	35	101
156	35	101
157	36	101
158	36	100
159	36	100
160	36	100
161	36	99
162	37	99
163	37	98
164	37	98
165	37	98
166	37	98
167	38	97
168	38	97
169	38	97
170	38	96
171	38	96
172	38	96
173	39	95
174	39	95
175	39	95
176	39	94
177	39	94
178	39	94
179	40	93
180	40	93
181	40	93
182	40	92
183	40	92
184	41	92
185	41	91
186	41	91
187	41	91
188	41	90
189	41	90
190	42	90
191	42	89
192	42	89
193	42	89
194	42	89
195	43	88
196	43	88
197	43	88
198	43	87
199	43	87
200	44	87
201	44	87
202	44	87
203	44	86
204	44	86
205	45	86
206	45	85
207	45	85
208	45	85
209	45	84
210	45	84
211	46	84
212	46	84
213	46	83
214	46	83
215	46	83
216	47	82
217	47	82
218	47	82
219	47	82
220	47	81
221	47	81
222	48	81
223	48	81
224	48	80
225	48	80
226	48	80
227	49	80
228	49	79
229	49	79
230	49	79
231	49	78
232	49	78
233	50	78
234	50	78
235	50	77
236	50	77
237	51	77
238	51	77
239	51	77
240	51	76
241	51	76
242	52	76
243	52	76
244	52	75
245	52	75
246	52	75
247	53	75
248	53	75
249	53	74
250	53	74
251	53	74
252	53	73
253	54	73
254	54	73
255	54	73
256	54	72
257	54	72
258	55	72
259	55	72
260	55	72
261	55	71
262	55	71
263	55	71
264	56	70
265	56	70
266	56	70
267	56	70
268	56	70
269	57	69
270	57	69
271	57	69
272	57	69
273	57	68
274	58	68
275	58	68
276	58	68
277	58	67
278	58	67
279	58	67
280	59	67
281	59	66
282	59	66
283	59	66
284	59	66
285	60	65
286	60	65
287	60	65
288	60	65
